Time,minutes,corr_conc,recovery,std_corrconc,rec_std
2021-11-15 14:29:07,0,0.0,0.0,0.0,0.0
2021-11-15 14:31:07,2,0.0,0.0,0.0,0.0
2021-11-15 14:33:07,4,0.0,0.0,0.0,0.0
2021-11-15 14:35:07,6,0.0,0.0,0.0,0.0
2021-11-15 14:37:07,8,0.0,0.0,0.0,0.0
2021-11-15 14:39:07,10,0.0,0.0,0.0,0.0
2021-11-15 14:41:07,12,0.0,0.0,0.0,0.0
2021-11-15 14:43:07,14,0.0,0.0,0.0,0.0
2021-11-15 14:45:07,16,0.0,0.0,0.0,0.0
2021-11-15 14:47:07,18,0.0,0.0,0.0,0.0
2021-11-15 14:49:07,20,0.0,0.0,0.0,0.0
2021-11-15 14:51:07,22,0.0,0.0,0.0,0.0
2021-11-15 14:53:07,24,0.0,0.0,0.0,0.0
2021-11-15 14:55:07,26,0.0,0.0,0.0,0.0
2021-11-15 14:57:07,28,0.0,0.0,0.0,0.0
2021-11-15 14:59:07,30,0.0,0.0,0.0,0.0
2021-11-15 15:01:07,32,0.0,0.0,0.0,0.0
2021-11-15 15:03:07,34,0.0,0.0,0.0,0.0
2021-11-15 15:05:07,36,0.0,0.0,0.0,0.0
2021-11-15 15:07:07,38,0.0,0.0,0.0,0.0
2021-11-15 15:09:07,40,0.0,0.0,0.0,0.0
2021-11-15 15:11:07,42,0.0,0.0,0.0,0.0
2021-11-15 15:13:07,44,0.0,0.0,0.0,0.0
2021-11-15 15:15:07,46,0.0,0.0,0.0,0.0
2021-11-15 15:17:07,48,0.0,0.0,0.0,0.0
2021-11-15 15:19:07,50,0.0,0.0,0.0,0.0
2021-11-15 15:21:07,52,0.0,0.0,0.0,0.0
2021-11-15 15:23:07,54,0.0,0.0,0.0,0.0
2021-11-15 15:25:07,56,0.0,0.0,0.0,0.0
2021-11-15 15:27:07,58,0.0,0.0,0.0,0.0
2021-11-15 15:29:07,60,0.0,0.0,0.0,0.0
2021-11-15 15:31:07,62,0.0,0.0,0.0,0.0
2021-11-15 15:33:07,64,0.0,0.0,0.0,0.0
2021-11-15 15:35:07,66,0.0,0.0,0.0,0.0
2021-11-15 15:37:07,68,0.0,0.0,0.0,0.0
2021-11-15 15:39:07,70,0.0,0.0,0.0,0.0
2021-11-15 15:41:07,72,0.0,0.0,0.0,0.0
2021-11-15 15:43:07,74,0.0,0.0,0.0,0.0
2021-11-15 15:45:07,76,0.0,0.0,0.0,0.0
2021-11-15 15:47:07,78,0.0,0.0,0.0,0.0
2021-11-15 15:49:07,80,0.0,0.0,0.0,0.0
2021-11-15 15:51:07,82,0.0,0.0,0.0,0.0
2021-11-15 15:53:07,84,0.0,0.0,0.0,0.0
2021-11-15 15:55:07,86,0.0,0.0,0.0,0.0
2021-11-15 15:57:07,88,0.0,0.0,0.0,0.0
2021-11-15 15:59:07,90,0.0,0.0,0.0,0.0
2021-11-15 16:01:07,92,0.0,0.0,0.0,0.0
2021-11-15 16:03:07,94,0.0,0.0,0.0,0.0
2021-11-15 16:05:07,96,0.0,0.0,0.0,0.0
2021-11-15 16:07:07,98,0.0,0.0,0.0,0.0
2021-11-15 16:09:07,100,0.0,0.0,0.0,0.0
2021-11-15 16:11:07,102,0.0,0.0,0.0,0.0
2021-11-15 16:13:07,104,0.0,0.0,0.0,0.0
2021-11-15 16:15:07,106,0.0,0.0,0.0,0.0
2021-11-15 16:17:07,108,0.0,0.0,0.0,0.0
2021-11-15 16:19:07,110,0.0,0.0,0.0,0.0
2021-11-15 16:21:07,112,0.0,0.0,0.0,0.0
2021-11-15 16:23:07,114,0.0,0.0,0.0,0.0
2021-11-15 16:25:07,116,0.0,0.0,0.0,0.0
2021-11-15 16:27:07,118,0.0,0.0,0.0,0.0
2021-11-15 16:29:07,120,0.0,0.0,0.0,0.0
2021-11-15 16:31:07,122,0.0,0.0,0.0,0.0
2021-11-15 16:33:07,124,0.0,0.0,0.0,0.0
2021-11-15 16:35:07,126,0.0,0.0,0.0,0.0
2021-11-15 16:37:07,128,0.0,0.0,0.0,0.0
2021-11-15 16:39:07,130,0.0,0.0,0.0,0.0
2021-11-15 16:41:06,131,0.0,0.0,0.0,0.0
2021-11-15 16:43:06,133,0.0,0.0,0.0,0.0
2021-11-15 16:45:06,135,0.0,0.0,0.0,0.0
2021-11-15 16:47:06,137,0.0,0.0,0.0,0.0
2021-11-15 16:49:06,139,0.0,0.0,0.0,0.0
2021-11-15 16:51:06,141,0.0,0.0,0.0,0.0
